No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
27,Windows Metro / Fluent,General,"Windows, Fluent Design, Acrylic, Mica, tile-based, Metro, WinUI, Reveal Highlight","System Accent (any), Grey #767676, Dark #1A1A1A","White, Surface Color, Custom accent","Acrylic blur effect, Mica material, Reveal Highlight on hover, depth layers, motion based on inertia","Windows apps, Microsoft ecosystem, desktop productivity","Web-only, iOS-only, non-Microsoft context",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"WinUI 10/10, Fluent UI 10/10",2012-Present,Low,"Design a Windows Fluent Design UI. Use: Acrylic blur effect, Mica material backgrounds, tile/card layout, Reveal Highlight on hover, depth and motion, Windows system accent color, Segoe UI/Variable font.","backdrop-filter: blur (acrylic); background: rgba semi-transparent; hover: reveal highlight; font: Segoe UI","☐ Acrylic/Mica effect, ☐ Reveal highlight hover, ☐ Tile/card layout, ☐ Depth layers, ☐ Segoe UI font","--acrylic: blur + tint, --reveal: hover highlight, --depth: layers, --font: Segoe UI Variable"
28,Doodle / Illustration-Heavy,General,"Hand-drawn, doodle, illustration, sketch, playful, artsy, custom art","Any bright palette","Cream paper background, Ink outlines","Custom illustrations as UI elements, sketch-style icons, hand-drawn borders, illustration-driven layout","Creative agencies, children, education, personal brands, artsy portfolios","Enterprise, data tools, serious content, performance-critical",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",Illustration Culture,High,"Design a doodle/illustration-heavy UI. Use: hand-drawn style elements, sketch icons, illustrated backgrounds, paper texture, playful custom art, doodle borders. Illustration is the main design element.","background: paper texture; border: sketch-style; icon-style: hand-drawn; font: handwriting or friendly rounded","☐ Illustrations consistent style, ☐ Paper texture base, ☐ Hand-drawn borders, ☐ Font matches style, ☐ Mobile responsive","--paper: texture bg, --ink: dark outline, --illustration: dominant element"
29,Data Visualization / Dashboard,General,"Data, dashboard, charts, metrics, KPI, analytics, real-time, graphs, tables","Primary Blue #2563EB, Green #16A34A, Red #DC2626","Dark background (dark mode preferred), Neutral greys","Animated charts, real-time updates, data transitions, color-coded metrics, responsive grid for widgets","Analytics dashboards, admin panels, BI tools, monitoring systems","Landing pages, creative portfolios, consumer apps, children",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 9/10, MUI 8/10, D3.js",2010s-Present,Medium,"Design a data dashboard. Use: clear KPI cards, chart components (bar, line, pie), data table, metric indicators, real-time update animations, grid layout for widgets. Analytics-focused, professional.","display: grid; chart: d3 or recharts; color: semantic (green=good, red=bad); font: tabular numbers","☐ KPI cards clear, ☐ Chart types appropriate, ☐ Real-time updates handled, ☐ Color semantics, ☐ Table sortable, ☐ Mobile responsive","--success: #16A34A, --danger: #DC2626, --primary: #2563EB, --chart-grid: #e5e7eb"
30,E-commerce / Conversion,General,"Shop, conversion, CTA, product, cart, checkout, trust, reviews, urgency","Primary Brand Color, CTA Green #22C55E, Trust Blue #2563EB","White background, Light grey #F9FAFB, Red urgency #EF4444","Quick add animations, cart updates, loading states, urgency timers, success feedback","E-commerce, product pages, checkout flows, online stores","Documentation, creative portfolios, developer tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, Bootstrap 8/10, Shopify 10/10",2010s-Present,Low,"Design an e-commerce product page. Use: product hero image, trust badges, review stars, urgency indicators, clear CTA buttons, cart interaction, fast loading. Conversion-optimized layout.","CTA: high contrast; trust: visible; urgency: red/countdown; layout: F-pattern; font: readable","☐ CTA prominent, ☐ Trust signals, ☐ Urgency elements, ☐ Review system, ☐ Cart feedback, ☐ Mobile checkout","--cta: #22C55E, --trust: #2563EB, --urgency: #EF4444, --bg: #fff"
31,Accessibility-First,General,"WCAG AAA, accessible, screen reader, keyboard nav, ARIA, high contrast, inclusive design","High contrast pairs only (4.5:1 minimum)","Never rely on color alone","Focus indicators always visible, keyboard navigation, ARIA labels, skip links, accessible animations","Government, healthcare, education, public services, enterprise","Decoration-first, animation-heavy (without motion alternatives), color-only indicators",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Any framework with accessibility library",2000s-Present,Low,"Design an accessibility-first UI. Use: WCAG AAA contrast ratios, visible focus states, keyboard navigation, ARIA labels, skip links, no color-only indicators, accessible motion (prefers-reduced-motion).","focus: visible; aria-label: present; contrast: 7:1 minimum; keyboard: tab order; motion: prefers-reduced","☐ WCAG AAA contrast, ☐ Focus indicator visible, ☐ ARIA labels, ☐ Skip links, ☐ Keyboard navigable, ☐ Motion alternatives","--focus-color: #005FCC, --min-contrast: 7:1, --outline: 3px solid"
32,Storytelling / Editorial,General,"Scrollytelling, editorial, long-form, narrative, immersive, magazine, prose, journalism","Any editorial palette","Photography-driven, black/white accents","Scroll-triggered reveals, parallax, full-bleed images, pull quotes, chapter navigation","News/media, brand stories, annual reports, marketing sites, long-form","E-commerce, dashboards, apps, data tools",✓ Full,✓ Full,⚠ Good,✓ WCAG AA,⚠ Medium,✓ High,"Tailwind 8/10, Custom CSS 9/10",2015-Present,High,"Design a storytelling editorial UI. Use: scroll-triggered animations, parallax sections, full-bleed photography, pull quotes, magazine-style typography, narrative layout, chapter markers. Immersive reading.","scroll-behavior: smooth; parallax: transform; full-bleed: 100vw; font: editorial serif; section: chapter","☐ Scroll narrative defined, ☐ Photography full-bleed, ☐ Pull quotes, ☐ Chapter navigation, ☐ Mobile readable","--editorial-font: serif, --pull-quote: large, --section: full-bleed, --parallax: transform"
33,SaaS / B2B,General,"Professional, trustworthy, feature-rich, pricing, trial, ROI, enterprise, product-led","Blue #2563EB, Navy #1E3A5F","White, Light grey #F8FAFC, Green success #16A34A","Smooth feature reveals, pricing toggle animations, feature comparison, onboarding flows","SaaS products, B2B platforms, productivity tools, business software","Consumer entertainment, children, artistic projects",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, MUI 8/10, Bootstrap 8/10",2010s-Present,Low,"Design a SaaS B2B landing page. Use: professional blue palette, feature highlights, pricing tiers, social proof/testimonials, trial CTA, product screenshot. Trust and conversion focused.","layout: sections with features; CTA: prominent; testimonials: visible; pricing: clear; font: professional","☐ Hero with CTA, ☐ Feature sections, ☐ Social proof, ☐ Pricing table, ☐ Trust signals, ☐ Trial prompt","--primary: #2563EB, --navy: #1E3A5F, --success: #16A34A, --bg: #F8FAFC"
34,Gaming / Esports,General,"Gaming, esports, neon, aggressive, competitive, dynamic, RGB, leaderboard, battle","Neon Green #39FF14, Electric Blue #0066FF, Black #000000","Red #FF0000, Orange #FF6600, Purple #6600FF","RGB animations, aggressive hover effects, particle systems, explosive transitions, leaderboard animations","Gaming sites, esports teams, game launchers, streaming platforms","Healthcare, enterprise, accessibility-critical, children education",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Custom CSS 9/10, Tailwind 6/10",2010s-Present,High,"Design a gaming/esports UI. Use: neon green/blue/black palette, aggressive angular shapes, RGB glow effects, particle system, leaderboard, energy and competitive feel. High-octane visual design.","background: dark; color: neon; box-shadow: neon glow; clip-path: angular; animation: explosive","☐ Dark background, ☐ Neon accents, ☐ Angular shapes, ☐ Aggressive hover, ☐ RGB glow, ☐ Competitive energy","--neon: #39FF14, --electric: #0066FF, --bg: #000, --glow: 0 0 20px #39FF14"
35,Portfolio / Creative,General,"Portfolio, creative, personal, unique, experimental, bold, artistic, self-expression","Brand-specific, typically bold or unique","Accent contrast, Photography","Smooth scroll, project reveals, cursor effects, hover interactions, creative transitions","Designer/developer portfolios, creative agencies, artists, freelancers","Enterprise, B2B, SaaS, accessibility-critical, government",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,✓ High,✓ High,"Custom CSS 10/10, GSAP, Framer Motion",2010s-Present,High,"Design a creative portfolio UI. Use: bold typography, unique scroll interactions, project case study layout, cursor effects, creative grid, personal brand colors. Showcase work creatively.","cursor: custom; scroll: smooth with GSAP; grid: creative/asymmetric; font: editorial; project: full case study","☐ Personal brand applied, ☐ Project showcases, ☐ Creative transitions, ☐ About section, ☐ Contact prominent","--brand: personal, --grid: creative, --transition: GSAP, --cursor: custom"
36,Mobile-First / PWA,General,"Mobile-first, responsive, touch, PWA, bottom nav, thumb zone, swipe, offline","Any — mobile optimized palette","Touch-safe accent colors","Touch-friendly interactions, swipe gestures, bottom navigation, safe area handling, offline states","Mobile apps, PWA, consumer apps, service workers","Desktop-only tools, complex data apps, print",⚠ Limited,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, Ionic, React Native Web",2015-Present,Low,"Design a mobile-first PWA UI. Use: bottom navigation, touch-friendly tap targets (44px min), swipe gestures, thumb zone optimization, offline states, PWA install prompt. Mobile-native feel on web.","min-height: 44px; bottom nav; safe-area-inset; touch-action; swipe: gesture library","☐ 44px tap targets, ☐ Bottom navigation, ☐ Safe area handling, ☐ Offline state, ☐ Swipe gestures, ☐ PWA manifest","--tap-target: 44px, --bottom-nav: fixed, --safe-area: env(safe-area-inset)"
37,Typographic / Text-First,General,"Typography-first, editorial, large type, font-as-design, text hierarchy, variable fonts","Typography-defined palette (often black/white)","Accent for emphasis","Variable font animations, large display type, text mask effects, kinetic typography","Publishing, editorial, news, brand identity, typography-forward design","Icon-heavy UI, complex apps, data tools, illustration-heavy",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Custom CSS 9/10, Tailwind 7/10",2015-Present,Medium,"Design a typography-first UI. Typography IS the design. Use: massive display fonts (variable if possible), font as decoration, text hierarchy as grid, kinetic typography animations, minimal or zero imagery.","font-size: clamp(3rem, 10vw, 10rem); font-variation-settings; text-clip mask; overflow: hidden (reveal)","☐ Display font defined, ☐ Type hierarchy clear, ☐ Variable font used, ☐ Text mask effects, ☐ No imagery distraction","--display: massive, --hierarchy: defined, --font: variable, --kinetic: animated"
38,Pastel / Soft Palette,General,"Soft, muted, gentle, pastel, calming, approachable, friendly","Lavender #E6CCFF, Peach #FFDAB9, Mint #C1F0C1","Soft Yellow #FFF9C4, Baby Pink #FFD1DC, Sky Blue #B0E0E6","Gentle hover states, soft transitions, subtle gradients, no harsh shadows","Mental health, wellness, baby products, beauty, education","Finance, data tools, enterprise, gaming",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 8/10, Bootstrap 7/10",2020s Wellness,Low,"Design a pastel soft UI. Use: lavender, peach, mint, baby pink palette, gentle interactions, soft shadows, rounded corners, calming feel. Non-threatening and approachable.","color: pastel palette; border-radius: 16px; shadow: soft; no harsh contrasts","☐ Pastel palette applied, ☐ Soft shadows, ☐ Rounded corners, ☐ Calming transitions, ☐ No harsh elements","--lavender: #E6CCFF, --peach: #FFDAB9, --mint: #C1F0C1, --radius: 16px"
39,Bold / High-Impact,General,"Bold, high impact, large type, strong CTA, aggressive color, statement","Bold primaries, Black, High contrast combinations","Accent for CTA","Bold hover effects, large type reveals, aggressive scale animations, strong click feedback","Marketing, product launches, events, landing pages, advertising","Subtle brands, wellness, accessibility-critical (unless careful)",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,✓ High,✓ High,"Tailwind 9/10, Custom CSS 8/10",2020s-Present,Low,"Design a bold high-impact landing page. Use: massive typography, strong color contrast, aggressive CTA, bold imagery, large-scale layouts. Make a statement. High energy and impactful.","font-size: large; color: high contrast; CTA: prominent; animation: bold; layout: large blocks","☐ Bold type hierarchy, ☐ Strong CTA, ☐ High contrast, ☐ Large imagery, ☐ Impact animations","--bold-type: massive, --cta: high-contrast, --energy: high"
40,Monochromatic Accent,General,"Single accent color, monochromatic, one hue, systematic, disciplined, branded","One primary hue + its shades (100-900 scale)","White/Black, plus shades of single hue","Consistent accent, tint/shade variations, disciplined color use, brand recognition","Brand-focused sites, design systems, SaaS, professional tools","Multi-color brands, entertainment, gaming",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, MUI 9/10",Timeless,Low,"Design a monochromatic UI using single accent color system. Use: one primary hue with tint/shade scale (100-900), white/black for text, disciplined color use. Brand recognition through color consistency.","color: single hue system; --color-100 through --color-900; accent: mid-range; text: dark/light","☐ Single hue system, ☐ Tint/shade scale defined, ☐ Consistent accent use, ☐ WCAG AA maintained, ☐ Brand color locked","--primary-100 through --primary-900, --accent: mid-hue, --text: #000 or #fff"
41,Illustrated Onboarding,General,"Onboarding, walkthrough, step-by-step, tutorial, illustrated, progress","Primary brand + illustration palette","White background, illustration accents","Step transitions, progress animations, illustration reveals, skip option, completion celebration","Mobile apps, SaaS onboarding, product tutorials, new user flows","Returning users, complex data tools, expert-only tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"React + Lottie, Tailwind 8/10",2018-Present,Medium,"Design an illustrated onboarding flow. Use: illustrated step screens, progress indicator, skip option, animated illustration reveals, completion celebration, simple value proposition per step.","progress: step indicator; illustration: per screen; animation: Lottie/CSS; CTA: clear; skip: accessible","☐ Progress indicator, ☐ Illustrations per step, ☐ Skip option, ☐ Completion state, ☐ Mobile responsive, ☐ Step transitions","--steps: defined, --illustration: per screen, --progress: visible, --completion: celebrate"
42,Dark Academia,General,"Dark academic, vintage, library, scholarly, ink, parchment, old books, candlelight, Oxford","Deep Brown #3B1A08, Parchment #F5DEB3, Ink Black #1C1208","Gold #B8860B, Forest Green #355E3B, Deep Red #722F37","Ink reveal animations, candlelight flicker, page turn effects, quill cursor, vintage texture","Educational platforms, book apps, academic sites, writing tools","Tech startups, gaming, children apps, entertainment",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10, Tailwind 6/10",Victorian/Academic,High,"Design a dark academia UI. Use: deep brown/parchment/ink palette, vintage library aesthetic, serif typography, old book textures, scholarly feel. Candlelight atmosphere and academic sophistication.","background: parchment texture; color: ink brown; font-family: Playfair Display, Lora; border: aged","☐ Parchment/dark palette, ☐ Vintage texture, ☐ Serif academic font, ☐ Scholarly feel, ☐ Candlelight atmosphere","--parchment: #F5DEB3, --ink: #1C1208, --brown: #3B1A08, --gold: #B8860B"
43,Space / Cosmic,General,"Space, cosmic, universe, stars, galaxy, nebula, deep space, astronomical","Deep Space Black #050510, Nebula Purple #6B21A8, Star White #F0F0FF","Cosmic Blue #1D4ED8, Nebula Pink #EC4899, Gold star #FFD700","Star field animation, nebula gradient, parallax stars, asteroid movement, cosmic zoom effects","Space tech, aerospace, science, astronomy apps, sci-fi brands","Children casual apps, food, wellness, everyday consumer",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10, Three.js",Timeless,High,"Design a cosmic space-themed UI. Use: deep space black background, nebula gradients (purple, blue, pink), star field animation, cosmic depth, astronomical aesthetic. Wonder and exploration feel.","background: deep black; star-field: animation; nebula: radial-gradient; font: clean on dark; parallax","☐ Star field applied, ☐ Nebula gradient, ☐ Dark space base, ☐ Cosmic depth, ☐ Text readable on dark","--space: #050510, --nebula: purple-blue gradient, --star: #F0F0FF, --gold: #FFD700"
44,Retro Gaming / Pixel Art,General,"Pixel art, 8-bit, 16-bit, retro gaming, chiptune, pixelated, arcade","Classic game palette (NES: limited colors)","Red, Green, Blue pixel primaries","Pixel animations, sprite-style icons, scanline effect, arcade score counter, 8-bit font","Game sites, retro apps, nostalgia products, developer branding","Professional services, healthcare, enterprise, accessibility-critical",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",1970-1990s,Medium,"Design a pixel art retro gaming UI. Use: pixel/bitmap font, sprite-style icons and elements, NES/SNES color palette, scanline effect, 8-bit aesthetic, arcade machine feel, chiptune references.","font-family: pixel; image-rendering: pixelated; background: scanlines; border: pixelated; colors: limited","☐ Pixel font applied, ☐ Pixelated rendering, ☐ Limited color palette, ☐ Scanlines, ☐ Sprite icons, ☐ 8-bit feel","--pixel-font: Press Start 2P, --rendering: pixelated, --palette: NES colors, --scanline: overlay"
45,Fashion / Couture,General,"Fashion, haute couture, runway, magazine, editorial, vogue, luxury fashion","Black #000000, White #FFFFFF, and one strong accent","Gold, Silver, or seasonal trend color","Runway reveal animations, editorial scroll, dramatic full-bleed imagery, fashion week transitions","Fashion brands, luxury retail, haute couture, beauty, lifestyle","Tech tools, data apps, gaming, children",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Custom CSS 9/10",High Fashion Culture,High,"Design a haute couture fashion UI. Use: editorial black/white, dramatic full-bleed photography, runway reveal animations, fashion magazine typography, seasonal accent color. High fashion and aspirational.","font: editorial; imagery: full-bleed; color: b/w + accent; animation: reveal, elegant; layout: editorial","☐ Editorial typography, ☐ Full-bleed imagery, ☐ Fashion reveal animations, ☐ B/W palette, ☐ One accent color","--fashion-font: editorial, --imagery: dominant, --accent: seasonal, --reveal: dramatic"
46,Children / EdTech,General,"Children, kids, education, colorful, safe, playful, big buttons, age-appropriate","Primary bright colors: Red, Blue, Yellow, Green","Orange, Purple, supporting bright colors","Bouncy animations, celebration confetti, large tap targets, audio feedback, reward animations","Children apps, educational games, learning platforms, kids products","Enterprise, finance, healthcare, sophisticated adult audiences",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 7/10, Custom CSS 9/10",2010s EdTech,Low,"Design a children educational app UI. Use: bright primary colors, large rounded buttons (min 64px), bouncy animations, celebration effects, simple readable font, age-appropriate imagery. Safe and fun.","font-size: large; border-radius: 50px; color: bright primaries; animation: bounce/celebrate; button: 64px","☐ Bright palette, ☐ Large tap targets 64px+, ☐ Bouncy animations, ☐ Celebration states, ☐ Age-appropriate, ☐ Readable font","--primary: bright, --button-size: 64px, --radius: 50px, --celebrate: confetti"
47,Fintech / Banking,General,"Financial, secure, trustworthy, numbers, charts, clean, professional, regulated","Deep Blue #1E40AF, Green #15803D, White #FFFFFF","Grey #6B7280, Light Blue #DBEAFE, Red (negative) #DC2626","Loading state animations, transaction feedback, chart transitions, secure input states","Banking apps, fintech, investment platforms, payment systems","Entertainment, gaming, children apps, creative portfolios",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 9/10, MUI 8/10",2010s-Present,Low,"Design a fintech banking UI. Use: deep blue professional palette, clear financial typography (tabular numbers), transaction history, balance display, security indicators, trust signals. Clean and reliable.","color: professional blue; font: tabular-nums; chart: financial; security: visible indicators","☐ Professional palette, ☐ Tabular numbers, ☐ Transaction list, ☐ Balance display, ☐ Security indicators, ☐ Trust signals","--finance-blue: #1E40AF, --success: #15803D, --danger: #DC2626, --table-num: tabular-nums"
48,Healthcare / Medical,General,"Medical, healthcare, clinical, clean, trustworthy, calming, patient, doctor","Clinical Blue #2563EB, Clinical White #FFFFFF, Clean Green #16A34A","Soft Grey #F3F4F6, Light Blue #EFF6FF, Warning Orange","Calm transitions, clinical clean interactions, loading health states, vital animations","Healthcare apps, medical platforms, patient portals, clinical tools","Gaming, entertainment, children apps, luxury fashion",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 9/10, MUI 8/10",2010s-Present,Low,"Design a healthcare medical UI. Use: clinical clean white/blue palette, patient-friendly typography, health metrics display, appointment booking, calming professional feel. Trust and clarity paramount.","background: clinical white; color: calming blue; font: clear readable; layout: form-heavy; icons: medical","☐ Clinical palette, ☐ Readable font, ☐ Health metrics, ☐ Form accessibility, ☐ Calming feel, ☐ Trust indicators","--clinical-blue: #2563EB, --white: #fff, --calming: light blue/green, --form: accessible"
49,Real Estate,General,"Property, listing, map, search, luxury homes, floor plan, neighborhood, MLS","Navy #1E3A5F, Gold #B8860B, White #FFFFFF","Warm Grey #F5F5F0, Stone #C2B280","Map animations, gallery transitions, floor plan zoom, neighborhood reveals","Real estate platforms, property listing sites, agent sites","Tech startups, gaming, entertainment",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Bootstrap 7/10",2010s-Present,Low,"Design a real estate property listing UI. Use: navy/gold professional palette, property card grid, map integration, gallery slideshow, floor plan display, search/filter system. Trust and aspiration.","layout: card grid + map split; gallery: full-bleed; search: prominent; color: navy + gold","☐ Property cards, ☐ Map view, ☐ Gallery slideshow, ☐ Search/filter, ☐ Floor plan, ☐ Agent info","--navy: #1E3A5F, --gold: #B8860B, --bg: #F5F5F0, --stone: #C2B280"
50,Travel / Tourism,General,"Adventure, wanderlust, destination, map, culture, explore, vacation, photography-heavy","Sky Blue #0EA5E9, Sand #F0D5A8, Adventure Green #16A34A","Ocean #0284C7, Sunset Orange #F97316, Earth Brown","Map zoom animations, destination reveals, parallax travel photography, weather animations","Travel apps, tourism sites, adventure brands, hotel booking","Enterprise, data tools, medical, finance",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Bootstrap 7/10",2010s-Present,Low,"Design a travel tourism UI. Use: sky blue/sand/green palette, full-bleed destination photography, map integration, parallax hero, destination cards, adventure typography. Wanderlust and exploration.","imagery: full-bleed travel; color: sky + sand; map: integrated; parallax: hero; font: adventurous","☐ Destination hero, ☐ Photography prominent, ☐ Map integration, ☐ Destination cards, ☐ Search/filter, ☐ Mobile booking","--sky: #0EA5E9, --sand: #F0D5A8, --adventure: #16A34A, --sunset: #F97316"
51,Food & Restaurant,General,"Food photography, appetite, warm, restaurant, menu, reservation, culinary, chef","Warm Red #DC2626, Golden Yellow #F59E0B, Rich Brown #92400E","Cream #FEFCE8, Forest Green #15803D, Black #000","Menu transitions, food photography reveal, cart animations, reservation booking, appetite-inducing warmth","Restaurant sites, food delivery, recipe apps, culinary brands","Finance, medical, B2B, enterprise",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Bootstrap 7/10",2010s-Present,Low,"Design a restaurant food UI. Use: warm red/golden/brown palette, appetite-inducing food photography, menu layout, reservation system, chef featured section. Warm and inviting.","color: warm red + golden; imagery: food photography; layout: menu grid; reservation: form; font: warm","☐ Food photography prominent, ☐ Warm palette, ☐ Menu layout, ☐ Reservation form, ☐ Chef section, ☐ Mobile menu","--warm-red: #DC2626, --golden: #F59E0B, --cream: #FEFCE8, --brown: #92400E"
52,Music / Audio,General,"Music player, waveform, equalizer, album art, playlist, streaming, concert, audio visualization","Neon Green #22C55E, Black #000000, White #FFFFFF","Brand-specific, Spotify Green, Audio visualization colors","Waveform animations, equalizer bars, album art transitions, progress bar music, beat-synchronized animations","Music streaming, podcast apps, audio tools, concert ticketing","Finance, medical, enterprise, children education",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,✓ High,◐ Medium,"Custom CSS 9/10, Web Audio API",2010s-Present,Medium,"Design a music audio UI. Use: dark background with neon accent, waveform/equalizer visualization, album art prominent, playlist layout, playback controls, progress bar. Audio-native feel.","background: dark; waveform: canvas/SVG; equalizer: animated bars; album-art: prominent; progress: custom","☐ Waveform visualization, ☐ Equalizer bars, ☐ Album art prominent, ☐ Playback controls, ☐ Playlist layout, ☐ Progress bar","--music-green: #22C55E, --bg: dark, --waveform: animated, --equalizer: bars"
53,Sports & Fitness,General,"Athletic, energy, performance, tracking, competition, workout, movement, stats","Power Red #DC2626, Athletic Black #000000, Energy Yellow #FACC15","Action Blue #2563EB, White, Orange energy #F97316","Progress animations, workout counter, performance metrics, achievement unlocks, energy animations","Fitness apps, sports sites, workout trackers, athletic brands","Wellness/calming, medical, finance, enterprise",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Custom CSS 8/10",2010s-Present,Low,"Design a sports fitness UI. Use: power red/black/yellow palette, energy and performance aesthetic, workout metrics display, progress tracking, achievement system, dynamic typography. Athletic energy.","color: high energy; metric: prominent; progress: animated; achievement: unlock; font: bold athletic","☐ Energy palette, ☐ Workout metrics, ☐ Progress tracking, ☐ Achievement system, ☐ Athletic typography, ☐ Mobile-first","--power: #DC2626, --athletic: #000, --energy: #FACC15, --action: #2563EB"
54,Mental Health / Wellness,General,"Calming, mindfulness, meditation, peaceful, supportive, soft, safe, healing","Calm Blue #7DD3FC, Soft Lavender #DDD6FE, Warm White #FEFCE8","Sage Green #BBF7D0, Peach #FED7AA, Muted Mint","Breathing animation, calming transitions, gentle hover states, no urgent animations, mindful pacing","Mental health apps, meditation, therapy platforms, wellness, self-care","Aggressive brands, gaming, finance, high-stress environments",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 8/10, Custom CSS 8/10",2020s Wellness,Low,"Design a mental health wellness UI. Use: calm blue/lavender/sage palette, breathing animation exercise, gentle interactions, no urgency or harsh elements, supportive tone. Calming and safe.","animation: slow calming; color: soft palette; no: harsh shadows or aggressive colors; pacing: mindful","☐ Calming palette, ☐ Breathing animation, ☐ No urgency, ☐ Gentle interactions, ☐ Supportive copy, ☐ Safe feel","--calm: #7DD3FC, --lavender: #DDD6FE, --sage: #BBF7D0, --pacing: slow"
55,AI / Machine Learning,General,"AI, neural network, machine learning, data streams, nodes, connections, intelligence, futuristic","Deep Purple #6D28D9, Electric Blue #2563EB, Neural Green #10B981","Black, White, Data visualization colors","Neural network animations, data stream effects, node connections, AI thinking animations, data particle systems","AI products, ML platforms, data science tools, tech companies","Children apps, wellness, traditional brands, hospitality",✓ Full,✓ Full,⚠ Good,✓ WCAG AA,⚠ Medium,✓ High,"Tailwind 8/10, D3.js, Custom CSS",2020s AI Era,High,"Design an AI/ML themed UI. Use: deep purple/electric blue palette, neural network node animations, data stream effects, AI thinking indicators, particle systems. Intelligence and future-forward.","animation: neural nodes; data-stream: moving elements; color: purple-blue; graph: network visualization","☐ Neural animation, ☐ Data stream, ☐ Node graph, ☐ AI loading indicator, ☐ Futuristic palette, ☐ Tech typography","--ai-purple: #6D28D9, --electric: #2563EB, --neural: #10B981, --nodes: animated"
56,Productivity / Notion-like,General,"Productivity, notes, tasks, blocks, editor, kanban, focus, second brain","White #FFFFFF, Off-White #F7F6F3, Black #000000","Accent (Blue, Orange, or any), Light Greys","Drag-drop animations, block reveal, kanban card transitions, focus mode, progress bars","Productivity apps, note-taking, task management, collaboration tools","Entertainment, gaming, children, consumer lifestyle",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 9/10, Custom CSS 8/10",2018-Present,Low,"Design a productivity Notion-like UI. Use: clean white/off-white palette, block-based editor, kanban board, task checklist, sidebar navigation, drag-drop interactions. Focus and clarity.","layout: block-based; sidebar: fixed; kanban: drag-drop; font: clean sans-serif; color: minimal accents","☐ Block editor, ☐ Kanban board, ☐ Sidebar navigation, ☐ Task checklist, ☐ Drag-drop, ☐ Focus mode","--white: #fff, --off-white: #F7F6F3, --accent: single, --sidebar: fixed"
